,clust,Referred a Friend,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Internet Service,Internet Type,Avg Monthly GB Download,Device Protection Plan,Unlimited Data,Monthly Charge,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
1854,1,0,0,12,30.54,1,2,47,1,1,100.15,1164.3,0,366.48,1530.78
1855,1,0,0,2,0.0,1,1,52,0,1,24.4,36.55,0,0.0,36.55
1856,0,0,0,4,2.01,0,3,0,0,0,20.95,85.5,0,8.04,93.53999999999999
1857,0,0,0,9,8.91,0,3,0,0,0,20.25,178.5,0,80.19,258.69
1858,1,0,0,9,15.62,1,1,2,0,1,45.15,416.45,0,140.57999999999998,557.03
1859,2,1,1,50,35.33,1,2,17,0,1,84.4,4116.15,0,1766.5,5882.65
1860,1,0,0,1,5.94,1,2,8,0,1,75.1,75.1,0,5.94,81.03999999999999
1861,2,1,1,54,42.1,1,1,12,0,1,70.15,3715.65,0,2273.4,5989.05
1862,1,0,0,42,18.79,1,2,16,0,1,101.75,4273.45,0,789.18,5062.63
1863,1,0,0,1,22.11,1,1,18,0,0,45.8,45.8,10,22.11,77.91
1864,0,0,0,1,40.83,0,3,0,0,0,20.1,20.1,0,40.83,60.93
1865,1,1,2,9,0.0,1,1,26,0,1,40.65,328.95,0,0.0,328.95
1866,1,0,0,1,38.66,1,2,18,0,1,69.1,69.1,0,38.66,107.75999999999999
1867,1,0,0,13,6.03,1,2,48,0,1,75.0,999.45,0,78.39,1077.8400000000001
1868,1,1,1,19,43.95,1,2,20,0,1,100.0,1888.65,0,835.0500000000001,2723.7000000000003
1869,1,0,0,24,0.0,1,1,52,1,1,54.15,1240.25,0,0.0,1240.25
1870,2,1,1,67,32.15,1,2,28,1,1,108.75,7156.2,0,2154.0499999999997,9310.25
1871,1,1,1,6,6.94,1,1,28,0,1,49.15,270.8,0,41.64,312.44
1872,0,0,0,20,22.78,0,3,0,0,0,19.4,374.5,0,455.6,830.1
1873,1,1,1,11,7.89,1,2,10,0,1,102.0,1145.35,0,86.78999999999999,1232.1399999999999
1874,0,0,0,2,24.71,0,3,0,0,0,20.65,38.7,0,49.42,88.12
1875,1,0,0,1,30.6,1,2,27,0,1,70.8,70.8,0,30.6,101.4
1876,1,0,0,16,11.96,1,2,18,0,1,89.05,1448.6,0,191.36,1639.96
1877,1,0,0,3,9.95,1,2,13,0,1,96.6,291.9,0,29.849999999999998,321.75
1878,2,1,1,57,40.13,1,2,25,1,1,104.5,5921.35,0,2287.4100000000003,8208.76
1879,1,0,0,5,37.1,1,0,2,0,0,50.6,249.95,20,185.5,455.45
1880,1,0,0,4,26.04,1,1,27,0,1,49.35,219.65,0,104.16,323.81
1881,1,0,0,7,12.05,1,2,69,0,1,94.25,669.0,0,84.35000000000001,753.35
1882,1,1,1,1,21.65,1,2,13,0,1,68.95,68.95,0,21.65,90.6
1883,1,0,0,4,42.44,1,2,29,0,1,76.05,318.9,0,169.76,488.65999999999997
1884,1,0,0,1,0.0,1,0,2,0,1,24.45,24.45,0,0.0,24.45
1885,1,0,0,7,36.84,1,2,17,1,0,89.35,631.85,60,257.88,949.73
1886,1,1,3,4,32.43,1,2,13,0,1,80.35,307.4,0,129.72,437.12
1887,1,0,0,1,31.34,1,2,52,0,1,79.05,79.05,0,31.34,110.39
1888,1,1,1,1,12.04,1,0,5,0,1,95.0,95.0,0,12.04,107.03999999999999
1889,1,0,0,1,0.0,1,1,73,0,1,25.2,25.2,0,0.0,25.2
1890,2,1,1,54,42.09,1,2,9,1,1,109.75,6110.2,0,2272.86,8383.06
1891,0,0,0,2,15.79,0,3,0,0,0,19.3,28.3,0,31.58,59.879999999999995
1892,1,0,0,15,9.71,1,1,26,0,1,49.1,679.55,0,145.65,825.1999999999999
1893,1,0,0,31,31.14,1,0,52,1,0,65.25,1994.3,120,965.34,3079.6400000000003
1894,2,1,9,61,26.94,1,2,11,0,1,94.1,5638.3,0,1643.3400000000001,7281.64
1895,2,1,2,24,3.0,1,2,15,1,1,104.65,2542.45,0,72.0,2614.45
1896,1,0,0,3,35.54,1,2,27,0,1,74.25,210.3,0,106.62,316.92
1897,1,1,1,4,28.22,1,2,10,0,1,100.2,420.2,0,112.88,533.0799999999999
1898,2,1,1,57,36.65,1,1,7,0,1,70.1,3913.3,0,2089.0499999999997,6002.35
1899,1,0,0,4,43.45,1,2,52,1,1,105.65,443.9,0,173.8,617.7
1900,1,0,0,35,8.8,1,0,46,1,0,85.95,3110.1,0,308.0,3418.1
1901,1,0,0,4,33.65,1,2,30,1,1,73.9,280.85,0,134.6,415.45000000000005
1902,2,1,1,58,27.99,1,2,24,1,1,109.45,6144.55,0,1623.4199999999998,7767.97
1903,1,0,0,30,11.73,1,2,82,0,1,100.2,2983.8,0,351.90000000000003,3335.7000000000003
1904,1,1,1,21,5.07,1,2,26,0,1,74.05,1565.7,0,106.47,1672.17
1905,1,0,0,3,21.86,1,2,6,1,1,101.55,298.35,0,65.58,363.93
1906,2,1,1,21,0.0,1,0,69,1,0,55.95,1157.05,10,0.0,1167.05
1907,1,0,0,1,24.24,1,1,28,0,1,45.75,45.75,0,24.24,69.99
1908,1,0,0,11,25.24,1,2,29,0,1,74.95,815.5,0,277.64,1093.1399999999999
1909,1,0,0,1,4.67,1,2,11,0,1,80.15,80.15,0,4.67,84.82000000000001
1910,2,1,1,72,31.13,1,2,11,1,1,109.25,8109.8,0,2241.36,10351.16
1911,1,0,0,3,0.0,1,1,30,0,1,35.2,108.95,0,0.0,108.95
1912,1,1,1,1,28.04,1,2,30,0,1,78.8,78.8,0,28.04,106.84
1913,2,0,0,47,35.97,1,2,25,1,0,106.4,5127.95,0,1690.59,6818.54
1914,1,0,0,18,20.86,1,1,3,0,1,49.4,874.8,0,375.48,1250.28
1915,1,1,1,20,49.69,1,2,10,0,1,90.2,1776.55,0,993.8,2770.35
1916,1,0,0,6,43.8,1,2,5,0,1,93.55,536.4,0,262.79999999999995,799.1999999999999
1917,1,0,0,1,14.91,1,2,21,0,1,80.85,80.85,0,14.91,95.75999999999999
1918,2,1,1,48,23.95,1,2,30,0,1,82.05,4029.95,0,1149.6,5179.549999999999
1919,0,1,1,3,37.61,0,3,0,0,0,20.55,51.15,0,112.83,163.98
1920,1,0,0,1,46.09,1,2,10,0,1,78.65,78.65,0,46.09,124.74000000000001
1921,1,0,0,1,4.02,1,0,11,0,1,42.9,42.9,0,4.02,46.92
1922,1,0,0,3,0.0,1,0,52,0,1,34.25,139.35,0,0.0,139.35
1923,1,0,0,9,0.0,1,0,48,1,1,58.5,539.85,0,0.0,539.85
1924,2,1,1,6,27.44,1,2,58,1,1,105.3,545.2,0,164.64000000000001,709.84
1925,1,1,1,16,17.96,1,2,30,0,1,73.85,1284.2,0,287.36,1571.56
1926,0,0,0,25,19.75,0,3,0,0,0,24.75,692.1,0,493.75,1185.85
1927,1,0,0,4,0.0,1,1,9,0,1,24.45,86.6,0,0.0,86.6
1928,2,0,0,28,30.48,1,2,13,1,0,105.7,2979.5,80,853.44,3912.94
1929,1,0,0,1,0.0,1,1,7,0,1,24.25,24.25,0,0.0,24.25
1930,1,0,0,11,15.6,1,2,4,0,1,76.5,837.95,0,171.6,1009.5500000000001
1931,1,0,0,4,7.39,1,2,4,0,1,93.5,362.2,0,29.56,391.76
1932,1,0,0,28,44.28,1,2,5,0,1,74.9,2068.55,0,1239.8400000000001,3308.3900000000003
1933,0,0,0,1,20.26,0,3,0,0,0,24.05,24.05,0,20.26,44.31
1934,1,0,0,1,30.96,1,1,5,0,1,50.55,50.55,0,30.96,81.50999999999999
1935,1,0,0,14,36.97,1,2,27,0,1,100.55,1415.55,0,517.5799999999999,1933.1299999999999
1936,0,0,0,1,34.57,0,3,0,0,0,20.5,20.5,0,34.57,55.07
1937,1,0,0,4,7.26,1,2,29,1,1,74.8,321.9,0,29.04,350.94
1938,1,1,1,20,0.0,1,1,10,0,1,24.45,482.8,0,0.0,482.8
1939,1,0,0,14,36.25,1,2,52,0,1,71.0,914.0,0,507.5,1421.5
1940,1,0,0,3,0.0,1,0,25,0,1,50.6,155.35,0,0.0,155.35
1941,2,1,1,40,2.03,1,2,19,1,1,84.85,3303.05,0,81.19999999999999,3384.25
1942,1,1,1,2,27.27,1,1,51,0,1,65.7,134.35,0,54.54,188.89
1943,1,0,0,1,41.39,1,2,3,0,1,70.5,70.5,0,41.39,111.89
1944,1,0,0,10,43.26,1,2,21,1,1,94.85,953.45,0,432.59999999999997,1386.05
1945,0,0,0,1,29.33,0,3,0,0,0,19.75,19.75,0,29.33,49.08
1946,1,1,1,14,45.6,1,0,19,0,1,65.45,937.6,0,638.4,1576.0
1947,2,1,1,22,19.8,1,0,17,1,1,67.5,1544.05,0,435.6,1979.65
1948,1,0,0,1,14.19,1,2,59,0,1,69.6,69.6,0,14.19,83.78999999999999
1949,2,1,1,49,39.55,1,0,10,1,1,84.35,4059.35,0,1937.9499999999998,5997.299999999999
1950,1,0,0,1,29.41,1,2,59,0,0,78.05,78.05,10,29.41,117.46
1951,1,0,0,7,38.07,1,2,28,0,1,73.6,520.0,0,266.49,786.49
1952,1,0,0,9,16.48,1,2,12,0,1,74.75,706.6,0,148.32,854.9200000000001
1953,0,0,0,1,45.49,0,3,0,0,0,20.2,20.2,0,45.49,65.69
1954,1,0,0,2,0.0,1,0,73,0,1,25.05,56.35,0,0.0,56.35
1955,1,0,0,57,0.0,1,1,59,0,0,39.3,2111.45,80,0.0,2191.45
1956,0,0,0,1,10.71,0,3,0,0,0,20.25,20.25,0,10.71,30.96
1957,1,0,0,13,0.0,1,1,53,0,1,23.9,300.8,0,0.0,300.8
1958,1,0,0,1,22.97,1,2,23,1,1,85.45,85.45,0,22.97,108.42
1959,1,0,0,63,8.38,1,2,59,0,1,99.9,6137.0,0,527.94,6664.9400000000005
1960,1,0,0,25,8.31,1,2,22,0,1,84.8,2043.45,0,207.75,2251.2
1961,2,1,1,35,48.47,1,2,12,0,1,75.2,2576.2,0,1696.45,4272.65
1962,2,1,1,71,0.0,1,0,25,0,0,49.35,3515.25,100,0.0,3615.25
1963,1,0,0,6,6.32,1,2,11,0,1,74.9,469.8,0,37.92,507.72
1964,1,0,0,15,16.82,1,2,26,1,1,101.25,1457.25,0,252.3,1709.55
1965,0,0,0,9,49.74,0,3,0,0,0,18.95,185.6,0,447.66,633.26
1966,1,0,0,37,0.0,1,1,10,0,1,28.6,973.55,0,0.0,973.55
1967,1,1,5,11,26.88,1,2,19,0,1,96.2,1222.05,0,295.68,1517.73
1968,2,1,1,55,10.61,1,2,76,1,1,104.15,5743.05,0,583.55,6326.6
1969,1,0,0,1,31.68,1,2,22,0,1,90.6,90.6,0,31.68,122.28
1970,1,0,0,6,21.91,1,1,12,0,1,50.8,288.05,0,131.46,419.51
1971,1,0,0,4,12.24,1,2,11,0,0,90.05,368.1,30,48.96,447.06
1972,1,1,1,3,44.34,1,2,29,0,1,75.85,256.6,0,133.02,389.62
1973,1,1,1,1,30.62,1,2,11,0,1,68.5,68.5,0,30.62,99.12
1974,1,0,0,11,38.88,1,2,30,0,1,73.5,791.75,0,427.68,1219.43
1975,1,0,0,1,13.04,1,2,46,0,1,69.95,69.95,0,13.04,82.99000000000001
1976,1,0,0,5,14.26,1,1,26,1,1,70.05,346.4,0,71.3,417.7
1977,1,0,0,8,23.89,1,2,14,1,1,94.0,773.65,0,191.12,964.77
1978,2,1,1,22,42.98,1,1,30,1,0,61.15,1422.05,80,945.56,2447.6099999999997
1979,1,0,0,29,28.37,1,2,12,0,1,84.45,2467.1,0,822.73,3289.83
1980,2,1,1,13,41.22,1,0,82,1,1,75.3,989.45,0,535.86,1525.31
1981,0,0,0,3,13.28,0,3,0,0,0,19.6,59.75,0,39.839999999999996,99.59
1982,1,0,0,62,8.08,1,2,21,0,0,102.0,6529.25,110,500.96,7140.21
1983,2,1,1,17,12.06,1,2,9,1,1,90.2,1454.15,0,205.02,1659.17
1984,0,1,1,56,13.2,0,3,0,0,0,25.15,1327.15,0,739.1999999999999,2066.35
1985,1,0,0,31,16.63,1,2,12,0,1,79.85,2404.15,0,515.53,2919.6800000000003
1986,1,0,0,2,21.28,1,0,26,0,1,49.6,114.7,0,42.56,157.26
1987,1,0,0,3,43.72,1,2,21,1,1,91.85,257.05,0,131.16,388.21000000000004
1988,1,1,1,1,0.0,1,1,12,0,0,40.1,40.1,10,0.0,50.1
1989,1,0,0,14,10.3,1,2,29,0,1,89.8,1129.1,0,144.20000000000002,1273.3
1990,2,1,1,35,25.27,1,1,82,1,1,72.25,2568.55,0,884.4499999999999,3453.0
1991,1,0,0,7,0.0,1,1,19,0,1,40.1,293.3,0,0.0,293.3
1992,1,0,0,1,32.13,1,2,15,0,0,79.55,79.55,10,32.13,121.68
1993,1,0,0,32,40.26,1,2,14,0,1,84.05,2781.85,0,1288.32,4070.17
1994,1,0,0,1,16.06,1,2,3,0,1,89.1,89.1,0,16.06,105.16
1995,2,1,1,17,25.79,1,0,12,1,1,94.4,1607.2,0,438.43,2045.63
1996,1,0,0,19,20.26,1,2,25,1,1,78.25,1490.95,0,384.94000000000005,1875.89
1997,0,0,0,1,34.79,0,3,0,0,0,19.1,19.1,0,34.79,53.89
1998,1,0,0,1,35.25,1,2,30,1,1,74.9,74.9,0,35.25,110.15
1999,1,0,0,3,0.0,1,1,18,0,1,24.75,66.95,0,0.0,66.95
2000,2,1,1,2,28.86,1,2,26,1,1,79.7,165.0,0,57.72,222.72
2001,2,1,1,55,8.8,1,1,48,0,0,57.55,3046.4,60,484.00000000000006,3590.4
2002,1,1,3,21,42.22,1,2,29,0,1,86.5,1808.7,0,886.62,2695.32
2003,2,1,1,69,37.2,1,2,27,1,1,103.95,7446.9,0,2566.8,10013.7
2004,1,0,0,39,0.0,1,0,48,0,1,48.95,1880.85,0,0.0,1880.85
2005,1,1,1,6,26.91,1,2,6,0,1,83.55,477.55,0,161.46,639.01
2006,1,0,0,1,42.87,1,2,8,0,0,70.45,70.45,10,42.87,123.32
2007,2,1,1,58,17.22,1,0,21,1,1,60.3,3563.8,0,998.76,4562.56
2008,1,0,0,1,0.0,1,1,57,0,1,24.75,24.75,0,0.0,24.75
2009,2,1,1,19,28.04,1,2,22,1,1,103.3,2012.7,0,532.76,2545.46
2010,1,0,0,3,31.88,1,2,7,0,1,78.5,242.05,0,95.64,337.69
2011,0,0,0,3,25.75,0,3,0,0,0,19.85,63.75,0,77.25,141.0
2012,1,0,0,15,14.79,1,1,59,0,1,58.6,939.7,0,221.85,1161.55
2013,2,1,1,10,1.09,1,2,18,1,1,98.5,1037.75,0,10.9,1048.65
2014,1,0,0,1,23.7,1,0,17,1,1,50.45,50.45,0,23.7,74.15
2015,2,1,1,38,49.7,1,2,30,1,1,94.65,3624.3,0,1888.6000000000001,5512.900000000001
2016,1,0,0,1,20.23,1,2,17,0,1,100.25,100.25,0,20.23,120.48
2017,1,0,0,16,17.8,1,2,5,1,0,88.45,1422.1,140,284.8,1846.8999999999999
2018,1,0,0,1,12.13,1,2,19,0,1,69.85,69.85,0,12.13,81.97999999999999
2019,1,0,0,12,18.38,1,2,3,1,1,81.7,858.6,0,220.56,1079.16
2020,1,0,0,4,43.06,1,2,46,0,1,79.9,324.3,0,172.24,496.54
2021,0,0,0,15,45.84,0,3,0,0,0,25.4,399.6,0,687.6,1087.2
2022,0,0,0,1,15.73,0,3,0,0,0,20.9,20.9,0,15.73,36.629999999999995
2023,1,1,1,1,33.46,1,2,12,0,0,69.4,69.4,10,33.46,112.86000000000001
2024,1,0,0,7,46.79,1,2,25,0,1,74.9,541.15,0,327.53,868.68
2025,1,0,0,1,46.17,1,2,30,0,1,70.1,70.1,0,46.17,116.27
2026,1,0,0,12,35.8,1,2,25,0,1,78.3,909.25,0,429.59999999999997,1338.85
2027,1,0,0,55,47.38,1,2,29,0,1,96.8,5283.95,0,2605.9,7889.85
2028,1,0,0,17,21.82,1,2,23,0,1,94.4,1617.5,0,370.94,1988.44
2029,1,0,0,1,1.63,1,2,59,0,0,84.3,84.3,10,1.63,95.92999999999999
2030,0,1,1,1,8.03,0,3,0,0,0,19.95,19.95,0,8.03,27.979999999999997
2031,2,1,1,23,19.2,1,2,7,1,1,99.25,2186.4,0,441.59999999999997,2628.0
2032,2,0,0,39,24.45,1,2,27,1,1,80.45,3201.55,0,953.55,4155.1
2033,2,1,1,9,31.67,1,0,59,1,0,79.35,661.25,10,285.03000000000003,956.28
2034,1,0,0,15,42.83,1,2,21,0,1,79.75,1111.85,0,642.4499999999999,1754.2999999999997
2035,2,1,1,30,39.74,1,2,22,1,1,100.05,3046.15,0,1192.2,4238.35
2036,1,0,0,1,45.86,1,2,27,0,1,69.35,69.35,0,45.86,115.21
2037,1,0,0,3,10.6,1,2,73,0,1,85.8,272.2,0,31.799999999999997,304.0
2038,2,0,0,67,42.77,1,1,3,1,1,79.7,5293.4,0,2865.59,8158.99
2039,1,1,1,1,43.67,1,2,73,0,0,80.55,80.55,0,43.67,124.22
2040,2,1,1,12,40.63,1,2,59,1,1,84.5,916.9,0,487.56000000000006,1404.46
2041,1,0,0,22,29.07,1,2,52,0,1,84.3,1855.65,0,639.54,2495.19
2042,1,0,0,2,11.75,1,2,4,0,1,67.75,116.65,0,23.5,140.15
2043,1,0,0,10,49.7,1,2,10,0,1,80.05,830.7,0,497.0,1327.7
2044,0,0,0,1,46.77,0,3,0,0,0,20.0,20.0,0,46.77,66.77000000000001
2045,1,0,0,22,3.95,1,1,30,0,0,48.8,1054.6,20,86.9,1161.5
2046,2,1,1,21,16.67,1,2,3,1,1,102.8,2110.15,0,350.07000000000005,2460.2200000000003
2047,1,0,0,6,5.16,1,2,59,1,1,99.95,547.65,0,30.96,578.61
2048,2,1,1,72,34.87,1,2,8,1,1,117.8,8684.8,0,2510.64,11195.439999999999
2049,1,1,1,3,43.27,1,2,17,0,1,79.65,251.75,0,129.81,381.56
2050,1,0,0,8,19.49,1,2,10,1,0,94.7,740.3,80,155.92,976.2199999999999
2051,1,0,0,5,3.25,1,2,25,1,1,92.5,452.7,0,16.25,468.95
2052,0,1,1,1,28.73,0,3,0,0,0,19.45,19.45,0,28.73,48.18
2053,1,0,0,2,41.37,1,2,28,0,1,75.55,166.3,0,82.74,249.04000000000002
2054,1,1,1,1,38.8,1,2,4,0,1,70.0,70.0,0,38.8,108.8
2055,2,1,1,65,40.47,1,1,30,0,1,74.8,4820.15,0,2630.5499999999997,7450.699999999999
2056,2,1,1,33,11.32,1,2,12,1,1,104.4,3409.6,0,373.56,3783.16
2057,1,0,0,15,20.03,1,2,59,0,0,86.2,1270.2,100,300.45000000000005,1670.65
2058,1,1,1,30,0.0,1,1,12,0,1,51.2,1561.5,0,0.0,1561.5
2059,0,0,0,2,28.02,0,3,0,0,0,19.5,31.55,0,56.04,87.59
2060,1,0,0,2,38.28,1,2,18,0,1,74.9,147.15,0,76.56,223.71
2061,1,0,0,25,36.24,1,2,3,0,1,100.25,2387.75,0,906.0,3293.75
2062,1,0,0,43,39.37,1,2,23,0,0,100.0,4211.55,140,1692.9099999999999,6044.46
2063,1,1,5,10,43.28,1,2,12,0,1,99.85,990.9,0,432.8,1423.7
2064,1,0,0,2,42.89,1,2,13,0,1,94.2,193.8,0,85.78,279.58000000000004
2065,2,0,0,69,2.52,1,2,24,1,1,104.05,7262.0,0,173.88,7435.88
2066,2,1,7,22,37.8,1,2,15,1,1,94.7,1914.9,0,831.5999999999999,2746.5
2067,1,0,0,1,48.31,1,0,22,0,1,44.45,44.45,0,48.31,92.76
2068,1,0,0,36,24.66,1,2,22,0,1,84.9,3067.2,0,887.76,3954.96
2069,0,0,0,1,23.16,0,3,0,0,0,20.25,20.25,0,23.16,43.41
2070,1,0,0,1,4.8,1,2,11,0,1,74.35,74.35,0,4.8,79.14999999999999
2071,1,0,0,1,47.83,1,1,12,1,0,62.05,62.05,10,47.83,119.88
2072,2,1,1,39,35.7,1,1,9,1,1,80.0,3182.95,0,1392.3000000000002,4575.25
2073,1,0,0,5,38.89,1,2,8,1,1,104.1,541.9,0,194.45,736.3499999999999
2074,1,0,0,2,17.22,1,2,30,0,1,76.5,162.45,0,34.44,196.89
2075,1,0,0,5,7.31,1,1,18,0,1,49.2,216.9,0,36.55,253.45
2076,0,0,0,11,30.91,0,3,0,0,0,23.15,245.2,0,340.01,585.21
2077,1,1,1,4,44.28,1,2,59,0,0,80.85,302.75,40,177.12,519.87
2078,1,0,0,1,23.63,1,0,85,0,1,60.1,60.1,0,23.63,83.73
2079,1,0,0,1,23.96,1,2,22,0,1,78.95,78.95,0,23.96,102.91
2080,1,0,0,2,6.47,1,1,21,0,1,45.15,98.5,0,12.94,111.44
2081,1,0,0,3,46.6,1,2,76,0,1,79.4,244.65,0,139.8,384.45000000000005
2082,1,0,0,44,0.0,1,0,4,1,1,53.95,2375.4,0,0.0,2375.4
2083,1,0,0,24,44.96,1,2,28,1,1,99.3,2431.35,0,1079.04,3510.39
2084,1,0,0,18,38.87,1,2,7,0,0,80.65,1451.9,30,699.66,2181.56
2085,1,0,0,1,10.19,1,2,9,0,1,71.1,71.1,0,10.19,81.28999999999999
2086,0,1,1,53,37.85,0,3,0,0,0,20.8,1021.8,0,2006.0500000000002,3027.8500000000004
2087,1,0,0,4,15.07,1,0,16,0,1,46.0,193.6,0,60.28,253.88
2088,1,0,0,9,24.81,1,0,69,0,0,66.25,620.55,10,223.29,853.8399999999999
2089,1,0,0,22,12.19,1,2,23,0,1,90.0,1993.8,0,268.18,2261.98
2090,1,0,0,38,33.71,1,2,17,0,1,70.45,2597.6,0,1280.98,3878.58
2091,0,0,0,53,26.21,0,3,0,0,0,19.75,1052.35,0,1389.13,2441.48
2092,1,0,0,1,31.16,1,1,11,0,1,53.95,53.95,0,31.16,85.11
2093,1,0,0,16,12.92,1,2,12,0,0,81.0,1312.15,0,206.72,1518.8700000000001
2094,1,1,1,1,11.08,1,2,13,0,1,69.8,69.8,0,11.08,80.88
2095,1,0,0,5,46.45,1,2,10,0,1,93.9,486.85,0,232.25,719.1
2096,2,1,1,31,38.67,1,0,13,0,0,91.15,2995.45,0,1198.77,4194.219999999999
2097,1,0,0,2,15.33,1,2,26,0,1,70.95,137.95,0,30.66,168.60999999999999
2098,2,1,1,37,36.29,1,2,27,1,1,99.5,3762.0,0,1342.73,5104.73
2099,2,0,0,38,36.18,1,2,48,1,1,83.9,3233.6,0,1374.84,4608.44
2100,1,0,0,10,8.38,1,2,2,1,1,104.4,1081.45,0,83.80000000000001,1165.25
2101,1,0,0,2,24.9,1,1,11,0,0,44.65,74.9,10,49.8,134.7
2102,1,0,0,3,0.0,1,1,27,0,1,25.25,58.9,0,0.0,58.9
2103,1,0,0,4,41.72,1,2,69,1,1,84.05,333.55,0,166.88,500.43
2104,1,0,0,1,44.11,1,2,69,0,1,74.7,74.7,0,44.11,118.81
2105,1,0,0,5,1.49,1,2,51,0,1,90.8,455.5,0,7.45,462.95
2106,1,0,0,30,43.01,1,0,4,1,0,85.35,2530.4,20,1290.3,3840.7
2107,1,0,0,1,0.0,1,0,2,0,1,35.75,35.75,0,0.0,35.75
2108,2,1,1,17,19.19,1,2,22,1,1,89.4,1539.45,0,326.23,1865.68
2109,0,0,0,3,15.12,0,3,0,0,0,19.8,58.15,0,45.36,103.50999999999999
2110,1,1,1,4,8.58,1,1,57,0,1,50.9,225.6,0,34.32,259.92
2111,1,0,0,4,21.62,1,2,59,0,0,81.0,340.85,50,86.48,477.33000000000004
2112,1,0,0,26,40.17,1,2,27,1,1,98.35,2515.3,0,1044.42,3559.7200000000003
2113,1,0,0,5,0.0,1,1,59,0,1,51.0,305.95,0,0.0,305.95
2114,1,1,1,4,21.81,1,2,14,0,1,91.65,365.4,0,87.24,452.64
2115,1,0,0,1,1.13,1,2,6,0,1,90.85,90.85,0,1.13,91.97999999999999
2116,1,0,0,1,38.53,1,2,20,0,1,69.4,69.4,0,38.53,107.93
2117,0,1,1,1,3.09,0,3,0,0,0,20.15,20.15,0,3.09,23.24
2118,1,0,0,26,17.53,1,2,15,0,1,74.95,1834.95,0,455.78000000000003,2290.73
2119,1,0,0,6,0.0,1,1,71,1,1,47.95,305.1,0,0.0,305.1
2120,1,0,0,3,3.64,1,1,25,0,1,63.6,155.65,0,10.92,166.57
2121,1,0,0,3,0.0,1,1,21,0,1,36.85,108.7,0,0.0,108.7
2122,1,0,0,1,4.41,1,1,30,0,1,44.1,44.1,0,4.41,48.510000000000005
2123,1,0,0,14,0.0,1,0,6,1,0,50.75,712.75,10,0.0,722.75
2124,2,0,0,58,14.99,1,2,12,1,1,106.45,6145.85,0,869.42,7015.27
2125,1,0,0,18,35.7,1,2,26,0,1,96.05,1740.7,0,642.6,2383.3
2126,1,0,0,7,18.99,1,2,23,0,1,75.1,552.95,0,132.92999999999998,685.88
2127,1,0,0,19,4.3,1,0,23,1,0,55.0,1046.5,30,81.7,1158.2
2128,1,1,1,11,9.14,1,2,19,0,1,74.35,834.2,0,100.54,934.74
2129,2,1,1,39,9.51,1,2,7,1,1,104.7,4134.85,0,370.89,4505.740000000001
2130,1,0,0,15,40.66,1,1,8,0,1,55.7,899.8,0,609.9,1509.6999999999998
2131,0,0,0,5,6.17,0,3,0,0,0,19.85,108.05,0,30.85,138.9
2132,1,0,0,1,15.92,1,2,11,0,1,70.3,70.3,0,15.92,86.22
2133,1,0,0,6,16.58,1,2,17,1,0,94.5,575.45,10,99.47999999999999,684.9300000000001
2134,1,0,0,2,29.04,1,2,21,0,1,79.65,152.7,0,58.08,210.77999999999997
2135,0,0,0,1,43.52,0,3,0,0,0,20.2,20.2,0,43.52,63.72
2136,2,0,0,66,23.51,1,2,52,1,1,106.05,6981.35,0,1551.66,8533.01
2137,1,0,0,36,13.35,1,2,7,0,0,99.15,3615.6,30,480.59999999999997,4126.2
2138,2,1,3,39,0.0,1,1,13,1,1,55.9,2184.35,0,0.0,2184.35
2139,1,0,0,21,12.76,1,2,48,0,1,82.35,1852.85,0,267.96,2120.81
2140,1,0,0,2,0.0,1,1,8,1,1,40.4,77.15,0,0.0,77.15
2141,1,0,0,4,29.11,1,2,9,0,1,75.35,338.1,0,116.44,454.54
2142,2,0,0,35,25.51,1,2,16,1,1,85.15,3030.6,0,892.85,3923.45
2143,2,1,5,33,20.02,1,2,27,1,1,93.8,3124.5,0,660.66,3785.16
2144,0,0,0,45,25.4,0,3,0,0,0,20.4,930.45,0,1143.0,2073.45
2145,1,0,0,6,0.0,1,1,14,0,1,30.5,208.7,0,0.0,208.7
2146,0,0,0,11,33.06,0,3,0,0,0,20.1,221.35,0,363.66,585.01
2147,1,0,0,1,26.06,1,2,3,1,1,75.3,75.3,0,26.06,101.36
2148,0,0,0,7,48.22,0,3,0,0,0,20.05,164.85,0,337.53999999999996,502.39
2149,1,0,0,1,29.63,1,2,15,0,1,70.4,70.4,0,29.63,100.03
2150,1,1,4,7,36.14,1,1,85,0,1,49.75,331.3,0,252.98000000000002,584.28
2151,1,1,1,11,25.67,1,2,18,0,1,94.0,1078.9,0,282.37,1361.27
2152,2,0,0,67,22.66,1,2,27,1,1,118.35,7804.15,0,1518.22,9322.369999999999
2153,1,0,0,8,0.0,1,0,4,0,0,30.45,226.45,0,0.0,226.45
2154,2,1,4,44,11.24,1,2,59,0,1,96.1,4364.1,0,494.56,4858.660000000001
2155,2,1,1,17,4.91,1,2,15,1,1,104.2,1743.5,0,83.47,1826.97
2156,1,0,0,9,20.34,1,2,7,0,1,80.8,713.1,0,183.06,896.1600000000001
2157,1,0,0,7,39.21,1,2,42,0,0,80.3,526.7,10,274.47,811.1700000000001
2158,1,0,0,3,35.64,1,0,6,0,1,69.35,191.35,0,106.92,298.27
